evaluation_id,institution_id,institution_name,institution_size_tier,sub_institution_id,canonical_name,entity_size_tier,member_name,is_original_member,label
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,department of physics and astronomy,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,department of physics astronomy,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,physics and astronomy department,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,department physics and astronomy,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,physics astronomy department,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,department of physics,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,departmentof physics and astronomy,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,physics department,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,department r of physics and astronomy,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,department of physicsand astronomy,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,department ofphysics and astronomy,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,departments of mathematics and physics astronomy,1,0
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,departments of physics and astronomy,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,department of physic and astronomy,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,department of physics andastronomy,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,department of physics r and astronomy,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,physicsand astronomy department,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,ysics and astronomy department,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,department of astronomy and physics,1,1
