"institution_id","ror_id","institution_name"
4210109532,"01srarb97",Olympic Coast Discovery Center
4210114829,"02hsnr298",Feiro Marine Life Center
4210104146,"01phxzc94",Grantmakers Concerned with Immigrants and Refugees
4210163377,"00gde9v15",Lomi School Foundation and Psychotherapy Clinic
4210088532,"003g85c66",Silver Buffalo Consulting
4210120455,"0345t3q13",Interdisciplinary Dental Education Academy
4210105702,"01c5ysa46",Montessori Education Institute of the Pacific Northwest
4210092124,"00dsh2014",Placer School for Adults
4210152729,"04705pk24",California Institute Of Medical Science
4210163385,"011s5rx78",Minu-Sepehr Aerospace University
4210095272,"00wzhk182",American University of Health Sciences
4210116482,"02ngn2w22",Mt. Sierra College
4210147012,"0544z8b75",College Of Certified Psychophysiologists
4210147729,"045rmvd16",Dhammakaya Open University
4210154309,"05phbdr70",Weippe Public Library
4210145826,"04gqc0005",Universal Barber College
4210092609,"0051kfw19",Montana Learning Center
4210158851,"00kd6h279",Webster University Utah
4210132754,"03w6mvs43",Western International University
4210141044,"04m0rev75",MidSchoolMath
4210125359,"026t5rk78",National Center for Intermodal Transportation
4210160362,"05r81c657",Yeshiva Toras Chaim Talmudic Seminary
4210102917,"019zszt41",South Routt School District
4210124951,"02wbbzx11",New School for Jewish Studies
4210166289,"00b3wxb81",South Dakota Public Universities and Research Center
4210098076,"00xma8d72",Stonewall Learning Center
4210091527,"00cjqwv82",Minnesota's Private Colleges
4210120430,"02mg13n04",Memphis Urban League
4210163316,"015g0sa97",Malden Grade School
4210167227,"039z5ca24",Salem Methodist Preschool
4210151203,"022mm5v69",Northwestern University Settlement Association
4210161686,"013n0gz40",Indiana Christian University
4210161204,"03vjhzm50",Miami University Glee Club
4210133464,"03q9ez861","Minorities in Mathematics, Science & Engineering"
4210153462,"04x34yn51",Southeastern Consortium for Minorities in Engineering
4210094073,"00msaq364",Sault Ste. Marie Area Public Schools
4210106155,"01qa8aw24",Smith Chapel Bible University
4210111052,"026fd2357",Southwest Bible College and Seminary
4210098153,"00vfssf38",Franklin County Genealogical & Historical Society
4210161973,"01mxhss58",eTraining Technology Academy
4210107406,"01m3xga44",Evergreen Community Charter School
4210150212,"01ghs6t07",Buncombe County Early College
4210162372,"05c686207",Daoist Traditions College of Chinese Medical Arts
4210128789,"02mrr4460",Institute for Education in International Media
4210137093,"03t1tgz69",Academy for Five Element Acupuncture
4210087713,"005b4rt94",Jung Tao School of Classical Chinese Medicine
4210148869,"0586tb181",Faith Equestrian Therapeutic Center
4210165421,"01b42ky18",American University of Leadership
4210129414,"03n9jn918",Lincoln Charter School
4210166905,"03dnj6531",Citizen Schools North Carolina
4210165753,"039pj5e32",Franciscan University Rugby
4210116373,"02cg6jf50",Lubavitch Educational Center
4210119659,"025zg9b48",Asset Stem Education
4210130741,"03bvrvh83",Association of Theological Schools
4210164502,"05rczw006",Scotland County Schools
4210166140,"044f6tt30",Sandhills Theatre Arts Renaissance School
4210114869,"026a5wm88",Public Schools of Robeson County
4210161207,"0498jc398",Clarkton School of Discovery
4210133178,"04533yy36",North Carolina Society of Hispanic Professionals
4210138394,"04czy3x31",Heritage Bible College
4210092851,"00h7cs967",Mid-Atlantic University Transportation Center
4210166322,"05n6g4g57",South Campus Community School
4210133899,"02q7rpv07",Dillard Academy
4210150220,"05f262r88",University System of Maryland at Hagerstown
4210153730,"023nx7r16",Carolina University of Theology
4210104567,"015mnqg92",Italian Cultural Society of Washington D.C.
4210106828,"01h2bfe37",Chocowinity Primary School
4210092069,"00dj68t85",Bishop John T. Walker National Learning Center
4210106280,"01j5c7b20",Potomac Massage Training Institute
4210135729,"02v65ck63",Maple Springs Baptist Bible College and Seminary
4210128433,"03h7v3958",Model Clinical Research
