country,openalex_id,clean_root_name,clean_parent_name,clean_child_name
Australia,74899385,central queensland university,central queensland university,faculty of arts business informatics and education
Australia,74899385,central queensland university,central queensland university,faculty of science engineering and health
Australia,74899385,central queensland university,central queensland university,school of medical and applied sciences
Australia,74899385,central queensland university,central queensland university,school of human health and social services
Australia,29894533,charles darwin university,charles darwin university,faculty of engineering health science and the environment
Australia,29894533,charles darwin university,charles darwin university,faculty of law education business and arts
Australia,29894533,charles darwin university,charles darwin university,school of environment
Australia,29894533,charles darwin university,charles darwin university,school of health
Australia,29894533,charles darwin university,charles darwin university,school of music and creative arts and humanities
Australia,29894533,charles darwin university,charles darwin university,faculty of law business and arts
Australia,149672521,federation university australia,federation university australia,faculty of education and arts
Australia,149672521,federation university australia,federation university australia,faculty of health
Australia,149672521,federation university australia,federation university australia,faculty of science
Australia,149672521,federation university australia,federation university australia,school of education and arts ballarat
Australia,149672521,federation university australia,federation university australia,school of health sciences ballarat
Australia,149672521,federation university australia,federation university australia,school of science information technology and engineering
Australia,149672521,federation university australia,federation university australia,school of nursing and midwifery gippsland
Australia,149672521,federation university australia,federation university australia,school of applied sciences and engineering gippsland
Australia,63525965,western sydney university,western sydney university,university of western sydney school of science and health hawkesbury c us
Australia,63525965,western sydney university,western sydney university,university of western sydney discipline of psychology
Australia,63525965,western sydney university,western sydney university,university of western sydney learning and teaching unit
Australia,63525965,western sydney university,western sydney university,university of western sydney men s health information and resource centre
Australia,63525965,western sydney university,western sydney university,university of western sydney school of humanities and communication arts
Australia,63525965,western sydney university,western sydney university,university of western sydney school of social sciences and psychology
Australia,205640436,curtin university,curtin university,department of chemistry
Australia,205640436,curtin university,curtin university,department of social sciences and international studies
Australia,205640436,curtin university,curtin university,department of spatial sciences
Australia,205640436,curtin university,curtin university,faculty of health sciences
Australia,205640436,curtin university,curtin university,faculty of humanities
Australia,205640436,curtin university,curtin university,faculty of science and engineering
Australia,205640436,curtin university,curtin university,school of built environment
Australia,205640436,curtin university,curtin university,school of information systems
Australia,205640436,curtin university,curtin university,school of media culture and creative arts
Australia,205640436,curtin university,curtin university,school of psychology and speech pathology
Australia,205640436,curtin university,curtin university,school of public health
Australia,205640436,curtin university,curtin university,school of social sciences and asian languages
Australia,114017466,university of technology sydney,university of technology sydney,faculty of design architecture and building
Australia,114017466,university of technology sydney,university of technology sydney,faculty of nursing midwifery and health
Australia,114017466,university of technology sydney,university of technology sydney,faculty of arts and social sciences
Australia,114017466,university of technology sydney,university of technology sydney,faculty of science
Australia,114017466,university of technology sydney,university of technology sydney,school of physics and advanced materials
Australia,149704539,deakin university,deakin university,school of health and social development geelong waterfront c us
Australia,149704539,deakin university,deakin university,school of psychology geelong waterfront c us
Australia,149704539,deakin university,deakin university,school of life and environmental sciences warrnambool c us
Australia,149704539,deakin university,deakin university,faculty of arts and education
Australia,149704539,deakin university,deakin university,faculty of business and law
Australia,149704539,deakin university,deakin university,faculty of health
Australia,149704539,deakin university,deakin university,school of accounting economics and finance
Australia,149704539,deakin university,deakin university,school of education
Australia,149704539,deakin university,deakin university,school of international and political studies
